title,author
The Copper Beech,Maeve Binchy
Forward the Foundation,Isaac Asimov
The Rumor,Elin Hilderbrand
Strong Poison,Dorothy L. Sayers
Gone for Good,Harlan Coben
Genesis,Karin Slaughter
Magic Bites,Ilona Andrews
Hatchet,Gary Paulsen
Dead and Gone,Charlaine Harris
Code Name Verity,Elizabeth Wein
Hourglass,Myra McEntire
Theft of Swords,Michael J. Sullivan
Dare Me,Megan Abbott
The Compound,S.A. Bodeen
The Sword Thief,Peter Lerangis
I Want My Hat Back,Jon Klassen
The Forgotten Garden,Kate Morton
Nine Stories,J.D. Salinger
Yes Please,Amy Poehler
Bel Canto,Ann Patchett
Blue Monday,Nicci French
Charmed Life ,Diana Wynne Jones
I Am Ozzy,"Ozzy Osbourne, Chris Ayres"
Devil Bones,Kathy Reichs
Driving Miss Daisy,Alfred Uhry
The Negotiator,Dee Henderson
The Perfect Hope,Nora Roberts
In the Lake of the Woods,Tim O'Brien
Trapped ,Kevin Hearne
Physik,"Angie Sage, Mark Zug"
Orlando: A Biography,Virginia Woolf
A Fire Upon The Deep,Vernor Vinge
Day After Night,Anita Diamant
The Help,Kathryn Stockett
Mercy Blade,Faith Hunter
Nightshade,Andrea Cremer
The Beach,Alex Garland
Private,Kate Brian
Calling Me Home,Julie Kibler
Counting by 7s,Holly Goldberg Sloan
Dear John,Nicholas Sparks
East of Eden  ,John Steinbeck
Faefever,Karen Marie Moning
Just Listen,Sarah Dessen
Housekeeping,Marilynne Robinson
Forest Mage,Robin Hobb
Cranford,Elizabeth Gaskell
First Rider's Call,Kristen Britain
Night over Water,Ken Follett
L.A. Candy,Lauren Conrad
Everyman,Philip Roth
Winter Moon,Dean Koontz
Kushiel's Justice,Jacqueline Carey
The Prisoner of Zenda,Anthony Hope
Jewels of the Sun,Nora Roberts
Briar's Book,Tamora Pierce
Dragon bound,Thea Harrison
The Enchanted Wood,Enid Blyton
How the Mind Works,Steven Pinker
The Giver,Lois Lowry
Executive Power,Vince Flynn
The Virgin's Lover,Philippa Gregory
Magic Binds,Ilona Andrews
Rumble Fish,S.E. Hinton
Gemeinsames Leben,Dietrich Bonhoeffer
The Stranger,Harlan Coben
Jewel (Oprah's Book Club) ,Bret Lott
Northern Lights,Philip Pullman
Deliverance,James Dickey
The Castaways,Elin Hilderbrand
The Birth House,Ami McKay
Fox in Socks,Dr. Seuss
I Shall Wear Midnight,Terry Pratchett
The Autumn Republic ,Brian  McClellan
Iced,Karen Marie Moning
Leaving Time,Jodi Picoult
The Moor's Last Sigh,Salman Rushdie
One,Richard Bach
Sieben Jahre in Tibet,Heinrich Harrer
Blackberry Winter,Sarah Jio
I Capture the Castle,Dodie Smith
The Ruby Circle,Richelle Mead
Taken,Robert Crais
"Between, Georgia",Joshilyn Jackson
Shugo Chara! 1 (Shugo Chara!),Peach-Pit
Kindred,Octavia E. Butler
Rumors,Anna Godbersen
Lover Revealed,J.R. Ward
Before I Fall,Lauren Oliver
Death on the Nile,Agatha Christie
Great Expectations,Charles Dickens
The Rescue,Nicholas Sparks
The Cradle Will Fall,Mary Higgins Clark
Relic,"Douglas Preston, Lincoln Child"
Fever,Maya Banks
The Odd Couple,Neil Simon
Caught,Harlan Coben
Getting Over It,Anna Maxted
The Hydrogen Sonata,Iain M. Banks
Matter,Iain M. Banks
Excession,Iain M. Banks
My Stroke of Insight,Jill Bolte Taylor
The Chosen One,Carol Lynch Williams
Robopocalypse,Daniel H. Wilson
The Island of Dr. Moreau,H.G. Wells
Matilda,"Roald Dahl, Quentin Blake"
Double Whammy,Carl Hiaasen
Black Swan Green,David Mitchell
Secrets of a Summer Night,Lisa Kleypas
Jitterbug Perfume,Tom Robbins
A Summer Affair,Elin Hilderbrand
The Book of Illusions,Paul Auster
Microserfs,Douglas Coupland
Home Front,Kristin Hannah
Exodus,Leon Uris
Nevermore,Kelly Creagh
A Faint Cold Fear,Karin Slaughter
The Unlikely Spy,Daniel Silva
Holding the Dream,Nora Roberts
How to Save a Life,Sara Zarr
The Walk,Richard Paul Evans
Luckiest Girl Alive,Jessica Knoll
Angle of Repose,Wallace Stegner
Double Star,Robert A. Heinlein
Brown Girl Dreaming,Jacqueline Woodson
Berlin: The Downfall 1945,Antony Beevor
Manwhore,Katy Evans
Hideaway,Dean Koontz
Prep,Curtis Sittenfeld
A World Without Heroes,Brandon Mull
Little Brother,Cory Doctorow
Absolute Power,David Baldacci
Texas,James A. Michener
Harvest ,Tess Gerritsen
Another Piece of My Heart,Jane Green
The Forsyte Saga,John Galsworthy
Treasure,Clive Cussler
Landline,Rainbow Rowell
Love & Misadventure,Lang Leav
"I, Claudius",Robert Graves
How to Be a Woman,Caitlin Moran
Alien,Alan Dean Foster
The Summons,John Grisham
Kiss of Frost,Jennifer Estep
The General's Daughter,Nelson DeMille
Betty Crocker's Cookbook,Betty Crocker
Broken prince,Erin Watt
Going After Cacciato,Tim O'Brien
The Minority Report,Philip K. Dick
Immortal in Death ,J.D. Robb
Last Night in Twisted River,John Irving
Return,"Karen Kingsbury, Gary Smalley"
Deliver Us From Evil,David Baldacci
The Acid House,Irvine Welsh
Metro Girl,Janet Evanovich
The Messenger,Daniel Silva
Walking Disaster,Jamie McGuire
The Piano Teacher,Janice Y.K. Lee
The Pledge,Kimberly Derting
A Painted House,John Grisham
The Turn of the Screw,Henry James
Kiss the Dead,Laurell K. Hamilton
Deal Breaker,Harlan Coben
The Hero of Ages,Brandon Sanderson
Lipstick Jungle,Candace Bushnell
"Carry On, Jeeves",P.G. Wodehouse
Queen of Sorcery,David Eddings
Numbers,Rachel Ward
The Gift,Alison Croggon
Murder Must Advertise,Dorothy L. Sayers
White Teeth,Zadie Smith
Scrappy Little Nobody,Anna Kendrick
The Invaders,John Flanagan
All That Remains,Patricia Cornwell
The Three Pigs,David Wiesner
The Screaming Staircase,Jonathan Stroud
The Peripheral,William Gibson
For a Few Demons More ,Kim Harrison
"Girl, Interrupted",Susanna Kaysen
The Sicilian,Mario Puzo
Anathem,Neal Stephenson
Splintered,A.G. Howard
Fire Star,Chris d'Lacey
Glory in Death,J.D. Robb
City on Fire,Garth Risk Hallberg
Midnight for Charlie Bone,Jenny Nimmo
Tears of the Moon,Nora Roberts
May We Be Forgiven,A.M. Homes
Endless Summer,Jennifer Echols
The Case for Christ,Lee Strobel
The Secret Adversary,Agatha Christie
Growing up Amish,Ira Wagler
Waiting for the Barbarians,J.M. Coetzee
Dragon Tears,Dean Koontz
Body Movers ,Stephanie Bond
Sandman Slim,Richard Kadrey
Forest of Secrets,Erin Hunter
The Thirty-Nine Steps,John Buchan
Swindle,Gordon Korman
The Carrie Diaries,Candace Bushnell
Lean Mean Thirteen,Janet Evanovich
Crown Duel ,Sherwood Smith
Birds of America: Stories,Lorrie Moore
The Monkey's Raincoat,Robert Crais
Adam,Ted Dekker
Feed,Mira Grant
Aloha from Hell,Richard Kadrey
The Final Warning,James Patterson
Sworn to Silence,Linda Castillo
Twilight,Erin Hunter
The Handmaid's Tale,Margaret Atwood
Go Set a Watchman,Harper Lee
Homer's Odyssey ,Gwen Cooper
The Clan of the Cave Bear,Jean M. Auel
"The Third Day, The Frost",John Marsden
The Book of Three,Lloyd Alexander
Master of the Senate,Robert A. Caro
Patriot Games,Tom Clancy
The Bronze Horseman,Paullina Simons
You Suck ,Christopher Moore
Sisters,Raina Telgemeier
Flutter,Amanda Hocking
The Secret Scripture,Sebastian Barry
Tales of the City,Armistead Maupin
The Last Detective,Robert Crais
Sweet Evil,Wendy Higgins
The Last Battle,C.S. Lewis
K is for Killer,Sue Grafton
Hot Water Music,Charles Bukowski
Magic Steps,Tamora Pierce
The Ipcress File,Len Deighton
You,Caroline Kepnes
Gilead,Marilynne Robinson
Fever 1793,Laurie Halse Anderson
Disappearing Acts,Terry McMillan
Ilium,Dan Simmons
Cinq semaines en ballon,Jules Verne
The Kind Worth Killing,Peter  Swanson
The Locket,Richard Paul Evans
Commonwealth,Ann Patchett
No Time for Goodbye,Linwood Barclay
Sickened,Julie Gregory
The Medusa Plot,Gordon Korman
Demon Lord of Karanda,David Eddings
The Book of Ruth,Jane Hamilton
War and Remembrance,Herman Wouk
Before They Are Hanged,Joe Abercrombie
Carpe Jugulum,Terry Pratchett
The Appeal,John Grisham
Full Black,Brad Thor
Four: The Transfer,Veronica Roth
A Tale for the Time Being,Ruth Ozeki
The Fixer Upper,Mary Kay Andrews
The Good House,Ann Leary
The Vampire Armand,Anne Rice
The Death of Bunny Munro,Nick Cave
I Was Here,Gayle Forman
Longbourn,Jo Baker
Time for Bed,"Mem Fox, Jane Dyer"
Hoot,Carl Hiaasen
Ask the Passengers,A.S. King
Memory Man,David Baldacci
Breath,Tim Winton
The Gods of War,Conn Iggulden
The Iron Queen,Julie Kagawa
Scarlet,Marissa Meyer
This is Water,David Foster Wallace
The Executioner's Song,Norman Mailer
The Blood of Olympus,Rick Riordan
The Liars' Club: A Memoir,Mary Karr
Say Goodbye,Lisa Gardner
Auschwitz: A New History,Laurence Rees
Mirror Mirror,Gregory Maguire
Ladder of Years,Anne Tyler
The Funhouse,"Owen  West, Dean Koontz"
Paris to the Moon,Adam Gopnik
Child of God,Cormac McCarthy
Sapphique,Catherine Fisher
Lightning,Dean Koontz
Seduce Me at Sunrise,Lisa Kleypas
S is for Silence,Sue Grafton
Zomerhuis met zwembad,Herman Koch
The Thirteenth Tale,Diane Setterfield
The Wives of Henry VIII,Antonia Fraser
Treasure Island,Robert Louis Stevenson
The Eye of the World,Robert Jordan
Bury Your Dead,Louise Penny
"Juliet, Naked",Nick Hornby
Second Chance,Jane Green
The Gatecrasher,Madeleine Wickham
Crooked House,Agatha Christie
Dance with the Devil,Sherrilyn Kenyon
The Year of the Flood,Margaret Atwood
Digging to America,Anne Tyler
The Edge of Never,J.A. Redmerski
The Fire Eternal,Chris d'Lacey
"Oh, the Places You'll Go!",Dr. Seuss
Letter to My Daughter,Maya Angelou
The Girls,Lori Lansens
Eona: The Last Dragoneye,Alison Goodman
The Scottish Prisoner,Diana Gabaldon
Armor,John Steakley
The Other Boleyn Girl,Philippa Gregory
Stay Close,Harlan Coben
The Last Templar,Raymond Khoury
Sexing the Cherry,Jeanette Winterson
Four Blind Mice,James Patterson
Women Who Love Too Much,Robin Norwood
Dissolution,C.J. Sansom
The Gate Thief,Orson Scott Card
Mountain of Black Glass,Tad Williams
In Our Time,Ernest Hemingway
Winter of the World,Ken Follett
Ten Big Ones,Janet Evanovich
Poison Study,Maria V. Snyder
Outbreak,Robin Cook
A Room of One's Own,Virginia Woolf
National Velvet,Enid Bagnold
Pastoralia,George Saunders
The Fall of Five,Pittacus Lore
Rise of the Elgen,Richard Paul Evans
Eagle Strike,Anthony Horowitz
That Summer,Sarah Dessen
Sycamore Row,John Grisham
Case Histories,Kate Atkinson
Love Warrior,Glennon Doyle Melton
Slash,"Slash, Anthony Bozza"
Anastasia Krupnik,Lois Lowry
The Commitments,Roddy Doyle
North and South,John Jakes
Curious George Rides a Bike,H.A. Rey
There's a Wocket in My Pocket,Dr. Seuss
Here on Earth ,Alice Hoffman
The Prize,Julie Garwood
American Wife,Curtis Sittenfeld
A Hologram for the King,Dave Eggers
Night Film,Marisha Pessl
The Going-To-Bed Book,Sandra Boynton
Extreme Measures,Vince Flynn
Virgin,James Patterson
The Goblin Emperor,Katherine Addison
Oblivion,David Foster Wallace
Eric,Terry Pratchett
Echo Burning,Lee Child
Lord Edgware Dies,Agatha Christie
Heal Your Body,Louise L. Hay
The Princess Diarist,Carrie Fisher
When God Was a Rabbit,Sarah Winman
Once We Were Brothers,Ronald H. Balson
Caraval,Stephanie Garber
Reunion in Death,J.D. Robb
The Escape,David Baldacci
Storm Born,Richelle Mead
Night School,"Lee Child, Dick Hill"
The Secret Life of Bees,Sue Monk Kidd
Prisoner of my desire ,Johanna Lindsey
The Angel of Darkness,Caleb Carr
Bones Are Forever,Kathy Reichs
Fledgling,Octavia E. Butler
The Passenger,Lisa Lutz
The Constant Princess,Philippa Gregory
Superfudge,Judy Blume
A Time to Kill,John Grisham
Amy & Matthew,Cammie McGovern
Peace Like a River,Leif Enger
Simply Irresistible,Rachel Gibson
Crazy For You,Jennifer Crusie
The Boleyn Inheritance,Philippa Gregory
Princess Academy,Shannon Hale
The Perfect Play,Jaci Burton
Bookends,Jane Green
Lon Po Po,Ed Young
The 19th Wife,David Ebershoff
A Man in Full,Tom Wolfe
Academ's Fury,Jim Butcher
The Little Stranger,Sarah Waters
Shiver,Maggie Stiefvater
Eon,Greg Bear
Noble House,James Clavell
Scoop,Evelyn Waugh
Fill-in boyfrined,Kasie West
Post Office,Charles Bukowski
Down Under,Bill Bryson
The Golden Lily,Richelle Mead
Rebel Belle,Rachel Hawkins
Torn,Amanda Hocking
Slammerkin,Emma Donoghue
Jennifer Government,Max Barry
Allegiant,Veronica Roth
Mitosis,Brandon Sanderson
Lucky Jim,"Kingsley Amis, David Lodge"
One Summer,David Baldacci
Hunger ,Michael  Grant
A Work in Progress,Connor Franta
Hate List,Jennifer Brown
A Great and Terrible Beauty,Libba Bray
Six of Crows,Leigh Bardugo
The Crossing ,Cormac McCarthy
Foundation and Empire,Isaac Asimov
Gone with the Wind,Margaret Mitchell
The Girl Next Door,Jack Ketchum
Deep Six,Clive Cussler
Elizabeth Street,Laurie Fabiano
The Fall of Hyperion,Dan Simmons
Uprooted,Naomi Novik
The Secret History,Donna Tartt
It's Not Summer Without You,Jenny Han
Drei Kameraden,Erich Maria Remarque
A Fistful of Charms,Kim Harrison
"Whitney, My Love",Judith McNaught
Four Past Midnight,Stephen King
The Thorn Birds,Colleen McCullough
That Night,Chevy Stevens
Broken Angels,Richard K. Morgan
True Blue,David Baldacci
The magician's nephew,C.S. Lewis
La peste,"Albert Camus, Stuart Gilbert"
The Fury and Dark Reunion,L.J. Smith
The Da Vinci Code,Dan Brown
Ninth Key,Meg Cabot
Envy,Anna Godbersen
Skippy Dies,Paul Murray
The Lost Colony,Eoin Colfer
Barefoot,Elin Hilderbrand
Owl Moon,"Jane Yolen, John Schoenherr"
Defending Jacob,William Landay
Plum Lovin',Janet Evanovich
The Psychopath Test,Jon Ronson
Ashes to Ashes,Tami Hoag
Foxglove Summer,Ben Aaronovitch
It Happened One Autumn,Lisa Kleypas
The Wright Brothers,David McCullough
The Prefect,Alastair Reynolds
Undaunted Courage,Stephen E. Ambrose
The History of Love,Nicole Krauss
Sisterland,Curtis Sittenfeld
Bloodfever,Karen Marie Moning
In His Steps,Charles M. Sheldon
Wife by wednesday,Catherine Bybee
The First Bad Man,Miranda July
"Lover Avenged, part one",J.R. Ward
"Lover Enshrined, part one",J.R. Ward
Redeployment,Phil Klay
The Winds of War,Herman Wouk
Morrigan's Cross,Nora Roberts
The Other Typist,Suzanne Rindell
Just Kids,Patti Smith
The Dogs of Babel,Carolyn  Parkhurst
Lit,Mary Karr
Cat Among the Pigeons,Agatha Christie
The Tortilla Curtain,T.C. Boyle
Gossip Girl,Cecily von Ziegesar
Erak's Ransom,John Flanagan
The Fallen Angel,Daniel Silva
The Alexandria Link,Steve Berry
Reboot,Amy Tintera
Anybody Out There?,Marian Keyes
Little Altars Everywhere,Rebecca Wells
The Last Time They Met,Anita Shreve
Summer Sisters,Judy Blume
Old Man's War,John Scalzi
Love Walked In,Marisa de los Santos
Bared to You,Sylvia Day
Ordinary Grace,William Kent Krueger
Tuck Everlasting,Natalie Babbitt
Mercy,Julie Garwood
Embrace the Night,Karen Chance
The Gates of Rome,Conn Iggulden
Seating Arrangements,Maggie Shipstead
Storm Warning,Linda Sue Park
C is for Corpse,Sue Grafton
Lockdown,Alexander Gordon Smith
Gravity's Rainbow,Thomas Pynchon
The Venetian Betrayal,Steve Berry
The Colour of Magic,Terry Pratchett
The Analyst,John Katzenbach
See Me,Nicholas Sparks
Snow Falling on Cedars,David Guterson
True Grit,Charles Portis
Pyongyang,Guy Delisle
The Golden Fool,Robin Hobb
One Summer: America 1927,Bill Bryson
Outpost,Ann Aguirre
Evil Star,Anthony Horowitz
Joyland,Stephen King
Lies,Michael  Grant
Blue Smoke,Nora Roberts
Fade,Lisa McMann
Goodnight Nobody,Jennifer Weiner
Something Wonderful,Judith McNaught
Catch Me,Lisa Gardner
Candy Girl,Diablo Cody
Winter Prey,John Sandford
Firefight,Brandon Sanderson
Odd Apocalypse,Dean Koontz
Ghost Story,Jim Butcher
Finnikin of the Rock,Melina Marchetta
Witness,Sandra Brown
Touch the Dark,Karen Chance
Alexander Hamilton,Ron Chernow
The Immortal Rules,Julie Kagawa
Collected Poems 1909-1962,T.S. Eliot
The Dragon Reborn ,Robert Jordan
The 158-Pound Marriage,John Irving
Princess Mia,Meg Cabot
The Gods of Mars,Edgar Rice Burroughs
Knife of Dreams,Robert Jordan
Under the Skin,Michel Faber
The Night Watch,Sarah Waters
Magonia,Maria Dahvana Headley
Kill Shot,Vince Flynn
Danger in the Shadows,Dee Henderson
How to Be Popular,Meg Cabot
The Stone Monkey,Jeffery Deaver
The Brethren,John Grisham
Sojourn (Dark Elf #3),R.A. Salvatore
The Reckoning,Kelley Armstrong
Scarlet,A.C. Gaughen
I Let You Go,Clare Mackintosh
Slam,Nick Hornby
Vengeance in Death,J.D. Robb
A Piece of Cake: A Memoir,Cupcake Brown
Poison Princess,Kresley Cole
Underworld,Meg Cabot
The Bazaar of Bad Dreams,Stephen King
Timequake,Kurt Vonnegut Jr.
The Mistake,Elle Kennedy
Succubus Heat,Richelle Mead
Beat the Reaper,Josh Bazell
No Second Chance,Harlan Coben
Asterios Polyp,David Mazzucchelli
Flight of the Intruder,Stephen Coonts
The Honor of the Queen,David Weber
The Twelfth Card,Jeffery Deaver
Waiting For You,Susane Colasanti
Funny Girl,Nick Hornby
Kiss the Girls,James Patterson
Evergreen,Belva Plain
Sweetbitter,Stephanie Danler
Dream Warrior,Sherrilyn Kenyon
Watermelon,Marian Keyes
Dark Reunion,L.J. Smith
Night Fall,Nelson DeMille
Eat to Live,Joel Fuhrman
Spirit Bound,Richelle Mead
Soul of the Fire,Terry Goodkind
Carmilla,J. Sheridan Le Fanu
Before I Go to Sleep,S.J. Watson
The King Beyond the Gate,David Gemmell
Into the Still Blue,Veronica Rossi
The Darkest Night,Gena Showalter
In Watermelon Sugar,Richard Brautigan
White Fang,Jack London
Herzog,"Saul Bellow, Philip Roth"
The Passion,Jeanette Winterson
The Fall of Reach,Eric S. Nylund
The Fiery Heart,Richelle Mead
Captivate,Carrie Jones
Prince of Fire,Daniel Silva
Left Drowning,Jessica Park
Reunion,Meg Cabot
My Soul to Keep,Rachel Vincent
The Sun Also Rises,Ernest Hemingway
Touch of Frost,Jennifer Estep
The Shadow of the Torturer,Gene Wolfe
Americanah,Chimamanda Ngozi Adichie
The Man from St. Petersburg,Ken Follett
Storm Front,Jim Butcher
The Atlantis Complex,Eoin Colfer
Magician's Gambit,David Eddings
Soul On Ice,Eldridge Cleaver
Belinda,"Anne Rice, Anne Rampling"
The Fourth Estate,Jeffrey Archer
The One Tree,Stephen R. Donaldson
"Llama, Llama Red Pajama",Anna Dewdney
Secrets of a shoe addict,Beth Harbison
Rosemary and Rue,Seanan McGuire
Distant Shores,Kristin Hannah
Columbine,Dave Cullen
The Fifth Elephant,Terry Pratchett
The Last Straw,Jeff Kinney
Marathon Man,William Goldman
The Enchanted,Rene Denfeld
The Terminal Man,Michael Crichton
Broken,Kelley Armstrong
Succubus Shadows ,Richelle Mead
Saving Francesca,Melina Marchetta
Silver Girl,Elin Hilderbrand
The Shifting Fog,Kate Morton
Silverthorn,Raymond E. Feist
Misery,Stephen King
The Lorax,Dr. Seuss
Homer Price,Robert McCloskey
House of Chains,Steven Erikson
The Darkest Minds,Alexandra Bracken
The Winner's Curse,Marie Rutkoski
Antrax,Terry Brooks
Darth Vader and Son,Jeffrey Brown
Virtual Light,William Gibson
"Night World, No. 2",L.J. Smith
The Sellout,Paul Beatty
The Magus,John Fowles
We Are Not Ourselves,Matthew  Thomas
Come Home,Lisa Scottoline
Airhead ,Meg Cabot
Thud!,Terry Pratchett
Rapunzel,Paul O. Zelinsky
Strange Highways,Dean Koontz
Night Play,Sherrilyn Kenyon
Little Women,Louisa May Alcott
Lost & Found,Jacqueline Sheehan
Sad Cypress,Agatha Christie
Heft,Liz Moore
Entice,Carrie Jones
Gray Mountain,John Grisham
Ashley Bell,Dean Koontz
A Year in the Merde,Stephen Clarke
Pompeii,Robert   Harris
Napalm & Silly Putty,George Carlin
The Last Nude,Ellis Avery
Forever Odd,Dean Koontz
The Wednesday Wars,Gary D. Schmidt
Requiem,Lauren Oliver
Blue Bloods,Melissa de la Cruz
The Long Goodbye,Raymond Chandler
Revelation Space,Alastair Reynolds
Return to Paradise,Simone Elkeles
Hop on Pop,Dr. Seuss
Sempre,J.M. Darhower
My Life on the Road,Gloria Steinem
The Dark Hills Divide,Patrick Carman
The Argonauts,Maggie Nelson
La catedral del mar,Ildefonso Falcones
Halt's Peril,John Flanagan
Silver Bay,Jojo Moyes
The Rats,James Herbert
The One,Kiera Cass
Die for Me,Amy Plum
Imitation in Death,J.D. Robb
The Glass Palace,Amitav Ghosh
Gut gegen Nordwind,Daniel Glattauer
In One Person,John Irving
The Ruins,Scott B. Smith
Not Quite Dating,Catherine Bybee
Simply Irresistible,Jill Shalvis
Thirteen Reasons Why,Jay Asher
The Confession,John Grisham
Neverwhere,Neil Gaiman
Worth Dying For,Lee Child
The Horse Whisperer,Nicholas Evans
Foreplay,Sophie Jordan
Minding Frankie,Maeve Binchy
Veil of Midnight,Lara Adrian
The Caine Mutiny,Herman Wouk
Anne of the Island,L.M. Montgomery
Five on a Treasure Island ,Enid Blyton
Devil in Winter ,Lisa Kleypas
V.,Thomas Pynchon
The Enemy,Charlie Higson
Arthur & George,Julian Barnes
The Keepsake,Tess Gerritsen
The Emperor's Code,Gordon Korman
Unseen,Karin Slaughter
The Lover's Dictionary,David Levithan
The Sweet Gum Tree,Katherine Allred
Burmese Days,George Orwell
The Apostle,Brad Thor
Top Secret Twenty-One,Janet Evanovich
The Search,Iris Johansen
Dead Poets Society ,N.H. Kleinbaum
New York,Edward Rutherfurd
Princess in Love,Meg Cabot
Bloodline,James Rollins
Prom and Prejudice,Elizabeth Eulberg
The Seventh Scroll,Wilbur Smith
Dry: A Memoir,Augusten Burroughs
Hawksong,Amelia Atwater-Rhodes
Every Thing On It,Shel Silverstein
How Music Works,David Byrne
Monument 14,Emmy Laybourne
No Rest for the Wicked,Kresley Cole
My Year of Meats,Ruth Ozeki
Attachments,Rainbow Rowell
Leviathan Wakes,James S.A. Corey
Sh*t My Dad Says,Justin Halpern
God Help the Child,Toni Morrison
White Night,Jim Butcher
The Heretic Queen,Michelle Moran
My Soul to Steal,Rachel Vincent
In Real Life,"Cory Doctorow, Jen Wang"
Shades of Midnight,Lara Adrian
Blaze,"Richard Bachman, Stephen King"
Red Rising,Pierce Brown
Eeny Meeny,M.J. Arlidge
A Color of His Own,Leo Lionni
Speak,Laurie Halse Anderson
Days with Frog and Toad,Arnold Lobel
My Friend Dahmer,Derf Backderf
The Ambassador's Mission,Trudi Canavan
Keep Holding On,Susane Colasanti
A Beautiful Wedding,Jamie McGuire
Ship of Destiny,Robin Hobb
March,Geraldine Brooks
First Lord's Fury,Jim Butcher
Horton Hears a Who!,Dr. Seuss
Horton Hatches the Egg,Dr. Seuss
Tramp for the Lord,Corrie ten Boom
The Cat in the Hat,Dr. Seuss
Live and Let Die,Ian Fleming
Into the Wilderness,Sara Donati
Doll Bones,"Holly Black, Eliza Wheeler"
West Side Story,Irving Shulman
Chasm City,Alastair Reynolds
Decision Points,George W. Bush
Fever,Lauren DeStefano
Rules of Civility,Amor Towles
UnSouled,Neal Shusterman
A Raisin in the Sun,Lorraine Hansberry
Love Bites,Lynsay Sands
A Fraction of the Whole,Steve Toltz
Lost Light,Michael Connelly
Queen Song,Victoria Aveyard
Open Season,C.J. Box
Fortune's Rocks,Anita Shreve
Still Missing,Chevy Stevens
Flyte,"Angie Sage, Mark Zug"
The Catcher in the Rye,J.D. Salinger
Deerskin,Robin McKinley
Complete Me,J. Kenner
Fatal Vision,Joe McGinniss
Holding Up the Universe,Jennifer Niven
The Ice Twins,S.K. Tremayne
The Dream Thieves,Maggie Stiefvater
Last Man Standing,David Baldacci
Darkly Dreaming Dexter,Jeff Lindsay
Oscar and Lucinda,Peter Carey
Midnight Bayou,Nora Roberts
Whiteout,Ken Follett
What I Loved,Siri Hustvedt
Bella Tuscany,Frances Mayes
The Onion Field,Joseph Wambaugh
My Soul to Take,Rachel Vincent
The Dead Girls' Dance,Rachel Caine
Deadline,Mira Grant
Shades of Earth,Beth Revis
Find Her,Lisa Gardner
Abandon,Blake Crouch
The Valley of Amazement,Amy Tan
A Suitable Boy,Vikram Seth
Heart of the Sea,Nora Roberts
A Pocket Full of Rye,Agatha Christie
Lethal,Sandra Brown
The Ask and the Answer,Patrick Ness
Imperium,Robert   Harris
The Emperor's Soul,Brandon Sanderson
Bitten,Kelley Armstrong
Ark Angel,Anthony Horowitz
The Girl Before,J.P. Delaney
"Alas, Babylon",Pat Frank
Ceremony in Death,J.D. Robb
Sula,Toni Morrison
The Light Fantastic,Terry Pratchett
Origin in Death,J.D. Robb
Promise Not to Tell,Jennifer McMahon
L.A. Confidential,James Ellroy
In the Skin of a Lion,Michael Ondaatje
Gregor the Overlander,Suzanne Collins
Money,Martin Amis
Ashes of Midnight,Lara Adrian
Amy & Isabelle,Elizabeth Strout
Winger,Andrew  Smith
The Redhead Revealed,Alice Clayton
A Storm of Swords,George R.R. Martin
Left Neglected,Lisa Genova
The Alienist,Caleb Carr
Broken Prey,John Sandford
To Say Nothing of the Dog,Connie Willis
The Dovekeepers,Alice Hoffman
Big Little Lies,Liane Moriarty
Black Powder War,Naomi Novik
The Kill Order,James Dashner
The Last Sin Eater,Francine Rivers
The Hours,Michael Cunningham
The Breadwinner,Deborah Ellis
Killer ,Sara Shepard
Bay of Sighs,Nora Roberts
Honour Among Thieves,Jeffrey Archer
Ex-Heroes,Peter Clines
Wideacre,Philippa Gregory
More Than a Carpenter,Josh McDowell
Johnny Got His Gun,Dalton Trumbo
The Naked and the Dead,Norman Mailer
Secret Daughter,Shilpi Somaya Gowda
Keys to Drawing,Bert Dodson
Shanghai Girls,Lisa See
Dept. of Speculation,Jenny Offill
Dragon's Oath,"P.C. Cast, Kristin Cast"
Sunshine,Robin McKinley
Indignation,Philip Roth
Sophie & Carter,Chelsea Fine
Kushiel's Scion,Jacqueline Carey
The Wee Free Men,Terry Pratchett
The Humans,Matt Haig
Bloodlines,Richelle Mead
The God Delusion,Richard Dawkins
Death Masks,Jim Butcher
Cloud Atlas,David Mitchell
The Princess Diaries,Meg Cabot
Mouse Paint,Ellen Stoll Walsh
A Murder is Announced,Agatha Christie
The Proposition,Katie Ashley
The Finkler Question,Howard Jacobson
Just Like Heaven,Julia Quinn
Born in Ice,Nora Roberts
Saint,Ted Dekker
Takedown,Brad Thor
Shadows Linger,Glen Cook
Ulysses,James Joyce
Bad Kitty,Nick Bruel
Sundiver,David Brin
State of Wonder,Ann Patchett
The Arctic Incident,Eoin Colfer
Brain Droppings,George Carlin
The Goddess Test,Aimee Carter
Hana,Lauren Oliver
What Katy Did  ,Susan Coolidge
Redwall,Brian Jacques
Some Girls Bite,Chloe Neill
The Time Paradox,Eoin Colfer
Coming Home,Rosamunde Pilcher
How to Fall in Love,Cecelia Ahern
Savvy,Ingrid Law
Exile's Return,Raymond E. Feist
The Lost Stories,John Flanagan
Curse the Dawn,Karen Chance
Peak,Roland Smith
Mystic River,Dennis Lehane
Ancillary Justice,Ann Leckie
Loving Frank,Nancy Horan
Playing For Pizza,John Grisham
The Undead Pool,Kim Harrison
Jemima J,Jane Green
